Depth,GR_1st,IGR,Vsh_1st,GR_2nd,GRc_2nd,Vsh_2nd,GR_3rd,GRc_3rd,Vsh+3rd
m,API,,,API,API,%,API,API,%
212.8,50.92,0.352520765,0.136694353,44.84,,2.78980675,57.42,,28.79897095
212.9,56.01,0.450840255,0.267787007,43.76,,1.485324648,53.77,,17.09270782
213,56.01,0.450840255,0.267787007,44.48,,2.336783586,53.58,,16.59636165
213.1,52.61,0.385165154,0.180220205,44.46,,2.312163566,51.38,,11.50837674
213.2,52.61,0.385165154,0.180220205,44.44,,2.287600338,49.04,,7.230944817
213.3,41.58,0.172107398,-0.103856803,44.11,,1.890390992,50.12,,9.076666547
213.4,45.82,0.254008113,0.00534415,43.98,,1.738023476,51.27,,11.28319408
213.5,45.82,0.254008113,0.00534415,45.86,,4.180529876,51.15,,11.04045349
213.6,39.46,0.131157041,-0.158457279,49.08,,9.817688789,52.65,,14.30315349
213.7,39.46,0.131157041,-0.158457279,49.06,,9.775811924,53.44,,16.23684295
213.8,42.01,0.180413367,-0.092782178,48.28,,8.215807519,53.22,,15.6823303
213.9,43.7,0.213057755,-0.049256326,48.81,,9.260430183,51.6,,11.96652542
214,43.7,0.213057755,-0.049256326,49.95,,11.73619085,51.25,,11.24252716
214.1,36.49,0.073787908,-0.234949456,48.71,,9.05840744,51.07,,10.88029725
214.2,36.49,35.9864879,47.64865053,48,,7.68920568,52.03,,12.89276289
214.3,40.73,0.155688623,-0.125748503,49.9,,11.62063494,53.54,,16.49310862
214.4,39.46,0.131157041,-0.158457279,50.22,,12.37185355,54.12,,18.03304014
214.5,39.46,0.131157041,-0.158457279,48.81,,9.260430183,51.34,,11.42619464
214.6,44.13,0.221363724,-0.038181701,48.03,,7.744816367,48.78,,6.816646106
214.7,44.13,0.221363724,-0.038181701,48.26,,8.177625851,48.9,,7.006472729
214.8,39.46,0.131157041,-0.158457279,42.34,,0,46.9,,4.131536414
214.9,41.16,0.163994591,-0.114673878,45,,2.997274959,44.33,,1.21355302
215,41.16,0.163994591,-0.114673878,47.35,,6.530424593,45.35,,2.279529328
215.1,44.55,0.229476531,-0.027364626,45.13,,3.168688231,44.99,,1.890357553
215.2,44.55,0.229476531,-0.027364626,45.91,,4.25300515,43.98,,0.873009547
215.3,52.19,0.377052347,0.169403129,43.55,,1.250027452,45.33,,2.25752524
215.4,54.31,0.418002704,0.224003606,45.08,,3.102455359,47.54,,4.987470564
215.5,54.31,0.418002704,0.224003606,46.58,,5.265647379,49.28,,7.623421442
215.6,58.13,0.491790612,0.322387483,46.73,,5.503293502,49.9,,8.683730419
215.7,58.13,0.491790612,0.322387483,48.38,,8.408044156,49.6,,8.162158985
215.8,56.01,0.450840255,0.267787007,46.96,,5.875773512,51.71,,12.1995511
215.9,47.1,36.9864879,48.98198387,45.4,,3.533029346,50.51,,9.795662579
216,47.1,0.278732857,0.038310476,46.66,,5.39187964,49.93,,8.736785974
216.1,32.67,0,-0.333333333,47.29,,6.427780184,50.1,,9.040573326
216.2,32.67,0,-0.333333333,47.74,,7.215231338,51.3,,11.34435289
216.3,34.37,0.032837551,-0.289549932,49.74,,11.25530773,54.45,,18.95146581
216.4,39.46,0.131157041,-0.158457279,49.7,,11.16502569,53.4,,16.1350788
216.5,39.46,0.131157041,-0.158457279,48.52,,8.680932134,55.93,,23.48016824
216.6,37.34,0.090206683,-0.213057755,47.19,,6.258278636,53.76,,17.0663397
216.7,37.34,0.090206683,-0.213057755,45.76,,4.036828645,51.51,,11.77783618
216.8,42.01,0.180413367,-0.092782178,44.75,,2.67477937,53.24,,15.73221917
216.9,45.82,0.254008113,0.00534415,43.89,,1.633870179,47.77,,5.309220577
217,45.82,0.254008113,0.00534415,44.14,,1.925878733,44.72,,1.607870481
217.1,46.25,0.262314082,0.016418775,44.27,,2.081087496,44.32,,1.203650622
217.2,46.25,0.262314082,0.016418775,44.08,,1.855025974,46.64,,3.799724915
217.3,54.31,0.418002704,0.224003606,44.58,,2.46074019,46.18,,3.234158756
217.4,49.64,0.327796021,0.103728028,45.76,,4.036828645,45.19,,2.104768429
217.5,49.64,0.327796021,0.103728028,47.03,,5.991114576,46.8,,4.002856302
217.6,42.85,37.9864879,50.3153172,48.33,,8.311648363,48.73,,6.738246531
217.7,42.85,0.19663898,-0.071148027,49.81,,11.41430819,48.66,,6.629168123
217.8,50.92,0.352520765,0.136694353,51.22,,14.90658118,48.74,,6.753893928
217.9,48.79,0.311377246,0.081836327,52.28,,17.93294076,48.66,,6.629168123
218,48.79,0.311377246,0.081836327,52.79,,19.5264095,47.56,,5.015145047
218.1,48.79,0.311377246,0.081836327,51.89,,16.77617657,48.7,,6.691401625
